[2026-08-15T17:05:22.795Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/render.js → 200 (61ms, 6309B)
[2026-08-15T17:05:22.795Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/controls.js → 200 (60ms, 3800B)
[2026-08-15T17:05:22.796Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/eventlog.js → 200 (50ms, 2732B)
[2026-08-15T17:05:22.847Z] GET https://hcmc-traffic-sim.vercel.app/src/messages.js → 200 (46ms, 2651B)
[2026-08-15T17:05:22.859Z] GET https://hcmc-traffic-sim.vercel.app/src/network.js → 200 (47ms, 4192B)
[2026-08-15T17:05:22.859Z] GET https://hcmc-traffic-sim.vercel.app/src/clock.js → 200 (46ms, 601B)
[2026-08-15T17:05:22.859Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/queues.js → 200 (47ms, 6738B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/trains.js → 200 (46ms, 4517B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/incidents.js → 200 (67ms, 4982B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/controller.js → 200 (68ms, 4183B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/central.js → 200 (67ms, 4761B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/railway.js → 200 (66ms, 3339B)
[2026-08-15T17:05:22.928Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/plans.js → 200 (49ms, 4796B)
[2026-08-15T17:05:22.929Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/phases.js → 200 (47ms, 2124B)
[2026-08-15T17:05:22.929Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/preemption.js → 200 (48ms, 2987B)
[2026-08-15T17:05:42.145Z] GET http://localhost:8123/ → 200 (4ms, ?B)
[2026-08-15T17:05:42.371Z] GET http://localhost:8123/src/config.js → 200 (7ms, 2940B)
[2026-08-15T17:05:42.372Z] GET http://localhost:8123/src/main.js → 200 (7ms, 3986B)
[2026-08-15T17:05:42.372Z] GET http://localhost:8123/src/ui/render.js → 200 (7ms, 11735B)
[2026-08-15T17:05:42.372Z] GET http://localhost:8123/src/ui/controls.js → 200 (7ms, 3811B)
[2026-08-15T17:05:42.372Z] GET http://localhost:8123/src/ui/eventlog.js → 200 (7ms, 2732B)
[2026-08-15T17:05:42.380Z] GET http://localhost:8123/src/network.js → 200 (7ms, 5031B)
[2026-08-15T17:05:42.380Z] GET http://localhost:8123/src/clock.js → 200 (2ms, 601B)
[2026-08-15T17:05:42.380Z] GET http://localhost:8123/src/physics/queues.js → 200 (4ms, 6738B)
[2026-08-15T17:05:42.380Z] GET http://localhost:8123/src/physics/trains.js → 200 (3ms, 4517B)
[2026-08-15T17:05:42.380Z] GET http://localhost:8123/src/physics/incidents.js → 200 (7ms, 5035B)
[2026-08-15T17:05:42.380Z] GET http://localhost:8123/src/messages.js → 200 (6ms, 2651B)
[2026-08-15T17:05:42.380Z] GET http://localhost:8123/src/actors/local/controller.js → 200 (7ms, 4183B)
[2026-08-15T17:05:42.381Z] GET http://localhost:8123/src/actors/central.js → 200 (7ms, 5036B)
[2026-08-15T17:05:42.381Z] GET http://localhost:8123/src/actors/railway.js → 200 (7ms, 3339B)
[2026-08-15T17:05:42.387Z] GET http://localhost:8123/src/actors/local/phases.js → 200 (1ms, 2124B)
[2026-08-15T17:05:42.387Z] GET http://localhost:8123/src/actors/local/plans.js → 200 (2ms, 5133B)
[2026-08-15T17:05:42.387Z] GET http://localhost:8123/src/actors/local/preemption.js → 200 (2ms, 2987B)
[2026-08-15T17:07:43.273Z] GET https://hcmc-traffic-sim.vercel.app/?v=2 → pending (?ms, ?B)
[2026-08-15T17:07:43.986Z] GET https://hcmc-traffic-sim.vercel.app/src/config.js → pending (?ms, ?B)
[2026-08-15T17:07:43.986Z] GET https://hcmc-traffic-sim.vercel.app/src/main.js → 200 (310ms, 3986B)
[2026-08-15T17:07:43.986Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/render.js → pending (?ms, ?B)
[2026-08-15T17:07:43.987Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/controls.js → pending (?ms, ?B)
[2026-08-15T17:07:43.987Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/eventlog.js → 200 (301ms, 2732B)
[2026-08-15T17:07:44.290Z] GET https://hcmc-traffic-sim.vercel.app/src/messages.js → 200 (44ms, 2651B)
[2026-08-15T17:07:44.297Z] GET https://hcmc-traffic-sim.vercel.app/src/network.js → pending (?ms, ?B)
[2026-08-15T17:07:44.297Z] GET https://hcmc-traffic-sim.vercel.app/src/clock.js → 200 (60ms, 601B)
[2026-08-15T17:07:44.298Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/queues.js → 200 (60ms, 6738B)
[2026-08-15T17:07:44.298Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/trains.js → 200 (59ms, 4517B)
[2026-08-15T17:07:44.298Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/incidents.js → pending (?ms, ?B)
[2026-08-15T17:07:44.298Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/controller.js → 200 (59ms, 4183B)
[2026-08-15T17:07:44.298Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/central.js → pending (?ms, ?B)
[2026-08-15T17:07:44.298Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/railway.js → 200 (60ms, 3339B)
[2026-08-15T17:07:44.357Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/phases.js → 200 (46ms, 2124B)
[2026-08-15T17:07:44.357Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/plans.js → pending (?ms, ?B)
[2026-08-15T17:07:44.357Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/preemption.js → 200 (56ms, 2987B)
